orig.ident	nCount_RNA	nFeature_RNA	plate	Cell_type	Age	Age_Cell_type	pool	Pool_Cell_type	percent.mt	percent.ERCC
plate_21_090s_E24.plate_21_090s_E24_accepted_hits_sorted_rm_dup.bam	plate	1316685	10581	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	0.486676767791841	0.0879481424942184
plate_21_090s_F01.plate_21_090s_F01_accepted_hits_sorted_rm_dup.bam	plate	3649	2058	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.2332145793368	0.137023842148534
plate_21_090s_F02.plate_21_090s_F02_accepted_hits_sorted_rm_dup.bam	plate	31263	5537	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.73048012026997	0.355052298243931
plate_21_090s_F05.plate_21_090s_F05_accepted_hits_sorted_rm_dup.bam	plate	28952	5235	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.949848024316109	0.259049461177121
plate_21_090s_F06.plate_21_090s_F06_accepted_hits_sorted_rm_dup.bam	plate	652747	6555	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.678823495167347	0.407814972722969
plate_21_090s_F09.plate_21_090s_F09_accepted_hits_sorted_rm_dup.bam	plate	310972	6443	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.627387674774578	0.34794129374992
plate_21_090s_F10.plate_21_090s_F10_accepted_hits_sorted_rm_dup.bam	plate	49715	5183	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.927285527506789	0.277582218646284
plate_21_090s_F13.plate_21_090s_F13_accepted_hits_sorted_rm_dup.bam	plate	7960	3648	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.38190954773869	0.226130653266332
plate_21_090s_F14.plate_21_090s_F14_accepted_hits_sorted_rm_dup.bam	plate	197468	8204	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.707456397998663	0.2476350598578
plate_21_090s_F15.plate_21_090s_F15_accepted_hits_sorted_rm_dup.bam	plate	38657	4970	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.783816643816126	0.188840313526658
plate_21_090s_F16.plate_21_090s_F16_accepted_hits_sorted_rm_dup.bam	plate	408918	7325	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.591316596481446	0.219359382565698
plate_21_090s_F17.plate_21_090s_F17_accepted_hits_sorted_rm_dup.bam	plate	360865	6313	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.494921923711083	0.201737491859837
plate_21_090s_F18.plate_21_090s_F18_accepted_hits_sorted_rm_dup.bam	plate	25819	5257	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.960532940857508	0.251752585305395
plate_21_090s_F19.plate_21_090s_F19_accepted_hits_sorted_rm_dup.bam	plate	263860	7469	090s	LMPP	Adult	Adult_LMPP	090s	090s_LMPP	0.395285378609869	0.122413401046009
plate_21_090s_F20.plate_21_090s_F20_accepted_hits_sorted_rm_dup.bam	plate	56129	6746	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	1.11172477685332	0.167471360615724
plate_21_090s_F23.plate_21_090s_F23_accepted_hits_sorted_rm_dup.bam	plate	775598	8885	090s	LMPP	Adult	Adult_LMPP	090s	090s_LMPP	0.546030288886769	0.255802619398193
plate_21_090s_F24.plate_21_090s_F24_accepted_hits_sorted_rm_dup.bam	plate	942814	10009	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	0.593648376031752	0.119535772697478
plate_21_090s_G01.plate_21_090s_G01_accepted_hits_sorted_rm_dup.bam	plate	5165	2790	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.37463697967086	0.174249757986447
plate_21_090s_G02.plate_21_090s_G02_accepted_hits_sorted_rm_dup.bam	plate	40375	6045	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.55789473684211	0.48297213622291
plate_21_090s_G05.plate_21_090s_G05_accepted_hits_sorted_rm_dup.bam	plate	117900	7249	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.11111111111111	0.211195928753181
plate_21_090s_G06.plate_21_090s_G06_accepted_hits_sorted_rm_dup.bam	plate	434672	7672	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.870771524275776	0.255364964847057
plate_21_090s_G09.plate_21_090s_G09_accepted_hits_sorted_rm_dup.bam	plate	215503	6735	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.92945341828188	0.392105910358556
plate_21_090s_G10.plate_21_090s_G10_accepted_hits_sorted_rm_dup.bam	plate	58307	5436	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.943282967739723	0.461351124221792
plate_21_090s_G13.plate_21_090s_G13_accepted_hits_sorted_rm_dup.bam	plate	9869	4250	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.60097274293241	0.233052994224339
plate_21_090s_G14.plate_21_090s_G14_accepted_hits_sorted_rm_dup.bam	plate	530248	8539	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.495617145184895	0.147289570163395
plate_21_090s_G15.plate_21_090s_G15_accepted_hits_sorted_rm_dup.bam	plate	25693	4990	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.12871210057214	0.194605534581403
plate_21_090s_G16.plate_21_090s_G16_accepted_hits_sorted_rm_dup.bam	plate	547606	8196	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.635128176097413	0.268075952418345
plate_21_090s_G17.plate_21_090s_G17_accepted_hits_sorted_rm_dup.bam	plate	238128	6405	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.646711012564671	0.334693946113015
plate_21_090s_G18.plate_21_090s_G18_accepted_hits_sorted_rm_dup.bam	plate	65087	6027	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.73593805214559	0.195123450151336
plate_21_090s_G19.plate_21_090s_G19_accepted_hits_sorted_rm_dup.bam	plate	114085	7131	090s	LMPP	Adult	Adult_LMPP	090s	090s_LMPP	0.777490467633782	0.115703203751589
plate_21_090s_G20.plate_21_090s_G20_accepted_hits_sorted_rm_dup.bam	plate	364384	9033	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	0.798882497584965	0.0524172301747607
plate_21_090s_G23.plate_21_090s_G23_accepted_hits_sorted_rm_dup.bam	plate	798904	9622	090s	LMPP	Adult	Adult_LMPP	090s	090s_LMPP	0.549252475891972	0.226310044761323
plate_21_090s_G24.plate_21_090s_G24_accepted_hits_sorted_rm_dup.bam	plate	1393569	11357	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	0.532732860733842	0.0627884231064267
plate_21_090s_H01.plate_21_090s_H01_accepted_hits_sorted_rm_dup.bam	plate	4818	2648	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.78497301784973	0.16604400166044
plate_21_090s_H02.plate_21_090s_H02_accepted_hits_sorted_rm_dup.bam	plate	13571	5266	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.58426055559649	0.265271534890575
plate_21_090s_H05.plate_21_090s_H05_accepted_hits_sorted_rm_dup.bam	plate	53649	5896	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.71112229491696	0.501407295569349
plate_21_090s_H06.plate_21_090s_H06_accepted_hits_sorted_rm_dup.bam	plate	247322	7568	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.90812786569735	0.338425210858719
plate_21_090s_H09.plate_21_090s_H09_accepted_hits_sorted_rm_dup.bam	plate	292285	6701	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.910754913868313	0.251466890192791
plate_21_090s_H10.plate_21_090s_H10_accepted_hits_sorted_rm_dup.bam	plate	31506	5513	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.983939567066591	0.30787786453374
plate_21_090s_H13.plate_21_090s_H13_accepted_hits_sorted_rm_dup.bam	plate	12276	4669	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.39296187683284	0.228087324861518
plate_21_090s_H14.plate_21_090s_H14_accepted_hits_sorted_rm_dup.bam	plate	730371	8827	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.548488370978585	0.249462259591358
plate_21_090s_H15.plate_21_090s_H15_accepted_hits_sorted_rm_dup.bam	plate	28754	5230	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.1128886415803	0.15649996522223
plate_21_090s_H16.plate_21_090s_H16_accepted_hits_sorted_rm_dup.bam	plate	453806	7963	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.580203875664932	0.239750025341225
plate_21_090s_H17.plate_21_090s_H17_accepted_hits_sorted_rm_dup.bam	plate	98388	6535	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.791763223157296	0.224620888726267
plate_21_090s_H18.plate_21_090s_H18_accepted_hits_sorted_rm_dup.bam	plate	52835	6337	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.94823507144885	0.176019683921643
plate_21_090s_H19.plate_21_090s_H19_accepted_hits_sorted_rm_dup.bam	plate	734613	9123	090s	LMPP	Adult	Adult_LMPP	090s	090s_LMPP	0.599090949928738	0.177236177415864
plate_21_090s_H20.plate_21_090s_H20_accepted_hits_sorted_rm_dup.bam	plate	86179	7799	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	0.779772334327388	0.0580187748755497
plate_21_090s_I01.plate_21_090s_I01_accepted_hits_sorted_rm_dup.bam	plate	4889	2618	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	2.16813254244222	0.429535692370628
plate_21_090s_I02.plate_21_090s_I02_accepted_hits_sorted_rm_dup.bam	plate	12729	5061	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.64977610181475	0.164977610181475
plate_21_090s_I05.plate_21_090s_I05_accepted_hits_sorted_rm_dup.bam	plate	272059	6579	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.931048044725593	0.334118702193274
plate_21_090s_I06.plate_21_090s_I06_accepted_hits_sorted_rm_dup.bam	plate	194848	7031	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.05261537198226	0.493718180325177
plate_21_090s_I09.plate_21_090s_I09_accepted_hits_sorted_rm_dup.bam	plate	324002	6685	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.868513157326189	0.500614193739545
plate_21_090s_I10.plate_21_090s_I10_accepted_hits_sorted_rm_dup.bam	plate	35668	5689	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.04575529886733	0.142985308960413
plate_21_090s_I13.plate_21_090s_I13_accepted_hits_sorted_rm_dup.bam	plate	11238	4513	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.51272468410749	0.222459512368749
plate_21_090s_I14.plate_21_090s_I14_accepted_hits_sorted_rm_dup.bam	plate	1007883	9334	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.525755469632884	0.173234393277791
plate_21_090s_I15.plate_21_090s_I15_accepted_hits_sorted_rm_dup.bam	plate	11934	4660	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.32394838277191	0.209485503603151
plate_21_090s_I16.plate_21_090s_I16_accepted_hits_sorted_rm_dup.bam	plate	202384	6968	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.27678077318365	0.260890188947743
plate_21_090s_I17.plate_21_090s_I17_accepted_hits_sorted_rm_dup.bam	plate	164874	6337	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.719943714594175	0.276574838967939
plate_21_090s_I18.plate_21_090s_I18_accepted_hits_sorted_rm_dup.bam	plate	24676	5430	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.47511752309937	0.316096612092722
plate_21_090s_I19.plate_21_090s_I19_accepted_hits_sorted_rm_dup.bam	plate	253314	7518	090s	LMPP	Adult	Adult_LMPP	090s	090s_LMPP	0.803745549002424	0.225017172363154
plate_21_090s_I20.plate_21_090s_I20_accepted_hits_sorted_rm_dup.bam	plate	316772	8253	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	0.668304016769159	0.0691348982864647
plate_21_090s_J01.plate_21_090s_J01_accepted_hits_sorted_rm_dup.bam	plate	4181	2269	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	2.84620904089931	0.358765845491509
plate_21_090s_J02.plate_21_090s_J02_accepted_hits_sorted_rm_dup.bam	plate	617289	7434	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.833645180782421	0.166210640396962
plate_21_090s_J05.plate_21_090s_J05_accepted_hits_sorted_rm_dup.bam	plate	382266	6697	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.699512904626621	0.207970366184803
plate_21_090s_J06.plate_21_090s_J06_accepted_hits_sorted_rm_dup.bam	plate	248424	6748	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.865455833574856	0.348597559012012
plate_21_090s_J09.plate_21_090s_J09_accepted_hits_sorted_rm_dup.bam	plate	117837	6201	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.930946986090956	0.264772524758777
plate_21_090s_J10.plate_21_090s_J10_accepted_hits_sorted_rm_dup.bam	plate	64264	6186	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.28532304244989	0.227187850118262
plate_21_090s_J13.plate_21_090s_J13_accepted_hits_sorted_rm_dup.bam	plate	161719	5511	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.848385161916658	0.412443806850154
plate_21_090s_J14.plate_21_090s_J14_accepted_hits_sorted_rm_dup.bam	plate	744361	8964	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.705571624520898	0.343784803341389
plate_21_090s_J15.plate_21_090s_J15_accepted_hits_sorted_rm_dup.bam	plate	7014	3505	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	2.29540918163673	0.156829198745366
plate_21_090s_J16.plate_21_090s_J16_accepted_hits_sorted_rm_dup.bam	plate	347647	7677	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.72142144186488	0.192148932681714
plate_21_090s_J17.plate_21_090s_J17_accepted_hits_sorted_rm_dup.bam	plate	67698	5909	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.0842270081834	0.35746994002777
plate_21_090s_J18.plate_21_090s_J18_accepted_hits_sorted_rm_dup.bam	plate	27552	5004	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.61512775842044	0.203252032520325
plate_21_090s_J19.plate_21_090s_J19_accepted_hits_sorted_rm_dup.bam	plate	796218	8562	090s	LMPP	Adult	Adult_LMPP	090s	090s_LMPP	0.466329573056625	0.10524755782964
plate_21_090s_J20.plate_21_090s_J20_accepted_hits_sorted_rm_dup.bam	plate	120780	7628	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	1.25020698791191	0.0447093889716841
plate_21_090s_K01.plate_21_090s_K01_accepted_hits_sorted_rm_dup.bam	plate	5443	2786	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.80047767775124	0.165349990813889
plate_21_090s_K02.plate_21_090s_K02_accepted_hits_sorted_rm_dup.bam	plate	67540	6716	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.11637548119633	0.384957062481492
plate_21_090s_K05.plate_21_090s_K05_accepted_hits_sorted_rm_dup.bam	plate	243496	7278	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.858741006012419	0.358116765778493
plate_21_090s_K06.plate_21_090s_K06_accepted_hits_sorted_rm_dup.bam	plate	267875	8010	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.946710219318712	0.283341110592627
plate_21_090s_K09.plate_21_090s_K09_accepted_hits_sorted_rm_dup.bam	plate	188646	7103	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.15348324374755	0.352512112634246
plate_21_090s_K10.plate_21_090s_K10_accepted_hits_sorted_rm_dup.bam	plate	79345	6296	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.10277900308778	0.364232150734136
plate_21_090s_K13.plate_21_090s_K13_accepted_hits_sorted_rm_dup.bam	plate	15580	5009	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.88703465982028	0.417201540436457
plate_21_090s_K14.plate_21_090s_K14_accepted_hits_sorted_rm_dup.bam	plate	1345173	9625	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.462988775421451	0.17908477199587
plate_21_090s_K15.plate_21_090s_K15_accepted_hits_sorted_rm_dup.bam	plate	14619	4727	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.55961420069772	0.253095286955332
plate_21_090s_K16.plate_21_090s_K16_accepted_hits_sorted_rm_dup.bam	plate	427622	7841	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.895884683201519	0.182170234459406
plate_21_090s_K17.plate_21_090s_K17_accepted_hits_sorted_rm_dup.bam	plate	71781	6236	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.980760925593123	0.338529694487399
plate_21_090s_K18.plate_21_090s_K18_accepted_hits_sorted_rm_dup.bam	plate	35929	6073	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.09104066353085	0.119680480948537
plate_21_090s_K19.plate_21_090s_K19_accepted_hits_sorted_rm_dup.bam	plate	776610	8543	090s	LMPP	Adult	Adult_LMPP	090s	090s_LMPP	0.567595060583819	0.239631217728332
plate_21_090s_K20.plate_21_090s_K20_accepted_hits_sorted_rm_dup.bam	plate	725030	9114	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	0.634042729266375	0.0973752810228542
plate_21_090s_L01.plate_21_090s_L01_accepted_hits_sorted_rm_dup.bam	plate	4332	2364	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.91597414589104	0.23084025854109
plate_21_090s_L02.plate_21_090s_L02_accepted_hits_sorted_rm_dup.bam	plate	46740	6173	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.83354728284125	0.35729567821994
plate_21_090s_L05.plate_21_090s_L05_accepted_hits_sorted_rm_dup.bam	plate	83790	6165	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.04189044038668	0.420097863706886
plate_21_090s_L06.plate_21_090s_L06_accepted_hits_sorted_rm_dup.bam	plate	98974	7147	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.17606644169176	0.238446460686645
plate_21_090s_L09.plate_21_090s_L09_accepted_hits_sorted_rm_dup.bam	plate	341731	7722	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.974450664411482	0.271851251422903
plate_21_090s_L10.plate_21_090s_L10_accepted_hits_sorted_rm_dup.bam	plate	50666	5424	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.25922709509336	0.223029250384873
plate_21_090s_L13.plate_21_090s_L13_accepted_hits_sorted_rm_dup.bam	plate	82102	6376	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.37755474897079	0.305717278507223
plate_21_090s_L14.plate_21_090s_L14_accepted_hits_sorted_rm_dup.bam	plate	734783	9356	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.646857643685279	0.395354819041812
plate_21_090s_L15.plate_21_090s_L15_accepted_hits_sorted_rm_dup.bam	plate	20257	5211	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.34274571752974	0.439354297279953
plate_21_090s_L16.plate_21_090s_L16_accepted_hits_sorted_rm_dup.bam	plate	192392	7370	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.775500020790885	0.311863279138426
plate_21_090s_L17.plate_21_090s_L17_accepted_hits_sorted_rm_dup.bam	plate	71362	5985	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.50220005044702	0.276057285389983
plate_21_090s_L18.plate_21_090s_L18_accepted_hits_sorted_rm_dup.bam	plate	45071	5577	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.880832464334051	0.175279004237758
plate_21_090s_L19.plate_21_090s_L19_accepted_hits_sorted_rm_dup.bam	plate	413397	8066	090s	LMPP	Adult	Adult_LMPP	090s	090s_LMPP	0.605955050472064	0.268265130129149
plate_21_090s_L20.plate_21_090s_L20_accepted_hits_sorted_rm_dup.bam	plate	469918	9066	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	0.748002843049213	0.0787371413736013
plate_21_090s_M01.plate_21_090s_M01_accepted_hits_sorted_rm_dup.bam	plate	3868	2088	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.73216132368149	0.103412616339193
plate_21_090s_M02.plate_21_090s_M02_accepted_hits_sorted_rm_dup.bam	plate	18036	5600	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.44156132180084	0.166333998669328
plate_21_090s_M05.plate_21_090s_M05_accepted_hits_sorted_rm_dup.bam	plate	45298	5731	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.18548280277275	0.220760298467924
plate_21_090s_M06.plate_21_090s_M06_accepted_hits_sorted_rm_dup.bam	plate	79194	6291	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.974821324847842	0.296739651993838
plate_21_090s_M09.plate_21_090s_M09_accepted_hits_sorted_rm_dup.bam	plate	140475	6515	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.33546894465207	0.353087738031678
plate_21_090s_M10.plate_21_090s_M10_accepted_hits_sorted_rm_dup.bam	plate	105543	6562	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.13792482684783	0.249187534938366
plate_21_090s_M13.plate_21_090s_M13_accepted_hits_sorted_rm_dup.bam	plate	32206	5178	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.33825995156182	0.285661056945911
plate_21_090s_M14.plate_21_090s_M14_accepted_hits_sorted_rm_dup.bam	plate	800145	9197	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.710371245211805	0.268951252585469
plate_21_090s_M15.plate_21_090s_M15_accepted_hits_sorted_rm_dup.bam	plate	20146	4743	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.18633972004368	0.332572222773752
plate_21_090s_M16.plate_21_090s_M16_accepted_hits_sorted_rm_dup.bam	plate	220423	6771	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.07747376634925	0.402408097158645
plate_21_090s_M17.plate_21_090s_M17_accepted_hits_sorted_rm_dup.bam	plate	49272	5737	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.12437083942198	0.290225685987985
plate_21_090s_M18.plate_21_090s_M18_accepted_hits_sorted_rm_dup.bam	plate	43058	5799	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.3307631566724	0.478424450740861
plate_21_090s_M19.plate_21_090s_M19_accepted_hits_sorted_rm_dup.bam	plate	84383	7070	090s	LMPP	Adult	Adult_LMPP	090s	090s_LMPP	0.841401704134719	0.12917293767702
plate_21_090s_M20.plate_21_090s_M20_accepted_hits_sorted_rm_dup.bam	plate	416060	7251	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	0.63716771619478	0.192039609671682
plate_21_090s_N01.plate_21_090s_N01_accepted_hits_sorted_rm_dup.bam	plate	3217	1877	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	2.14485545539322	0.248678893378924
plate_21_090s_N02.plate_21_090s_N02_accepted_hits_sorted_rm_dup.bam	plate	200567	6603	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.789761027487074	0.171513758494668
plate_21_090s_N05.plate_21_090s_N05_accepted_hits_sorted_rm_dup.bam	plate	126231	5588	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.900729614753904	0.312126181365909
plate_21_090s_N06.plate_21_090s_N06_accepted_hits_sorted_rm_dup.bam	plate	92116	6482	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.17026358070259	0.210604021016979
plate_21_090s_N09.plate_21_090s_N09_accepted_hits_sorted_rm_dup.bam	plate	512196	7501	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.773141531757374	0.292661403056642
plate_21_090s_N10.plate_21_090s_N10_accepted_hits_sorted_rm_dup.bam	plate	36724	5942	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.24169480448753	0.0544602984424355
plate_21_090s_N13.plate_21_090s_N13_accepted_hits_sorted_rm_dup.bam	plate	17392	4787	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.6329346826127	0.252989880404784
plate_21_090s_N14.plate_21_090s_N14_accepted_hits_sorted_rm_dup.bam	plate	692619	8946	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.70312827109854	0.246455843688955
plate_21_090s_N15.plate_21_090s_N15_accepted_hits_sorted_rm_dup.bam	plate	16004	4595	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.16845788552862	0.268682829292677
plate_21_090s_N16.plate_21_090s_N16_accepted_hits_sorted_rm_dup.bam	plate	177354	7191	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.07468678462284	0.341125658287944
plate_21_090s_N17.plate_21_090s_N17_accepted_hits_sorted_rm_dup.bam	plate	98289	6034	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.921771510545432	0.352023115506313
plate_21_090s_N18.plate_21_090s_N18_accepted_hits_sorted_rm_dup.bam	plate	23372	5149	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.66438473386959	0.260996063665925
plate_21_090s_N19.plate_21_090s_N19_accepted_hits_sorted_rm_dup.bam	plate	431996	8601	090s	LMPP	Adult	Adult_LMPP	090s	090s_LMPP	0.786581357234789	0.168751562514468
plate_21_090s_N20.plate_21_090s_N20_accepted_hits_sorted_rm_dup.bam	plate	266160	8260	090s	GMP	Adult	Adult_GMP	090s	090s_GMP	0.890066125638714	0.102945596633604
plate_21_090s_O01.plate_21_090s_O01_accepted_hits_sorted_rm_dup.bam	plate	3400	1918	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	2.61764705882353	0.205882352941176
plate_21_090s_O02.plate_21_090s_O02_accepted_hits_sorted_rm_dup.bam	plate	35417	5483	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.14351864923624	0.64375864697744
plate_21_090s_O05.plate_21_090s_O05_accepted_hits_sorted_rm_dup.bam	plate	60797	5606	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	1.46224320278961	0.294422422158988
plate_21_090s_O06.plate_21_090s_O06_accepted_hits_sorted_rm_dup.bam	plate	192891	7065	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	0.953388182963435	0.243660927674179
plate_21_090s_O09.plate_21_090s_O09_accepted_hits_sorted_rm_dup.bam	plate	327553	7018	090s	CD49b-	Adult	Adult_CD49b-	090s	090s_CD49b-	0.918324668068984	0.398714101229419
plate_21_090s_O10.plate_21_090s_O10_accepted_hits_sorted_rm_dup.bam	plate	49859	5781	090s	CD49b+	Adult	Adult_CD49b+	090s	090s_CD49b+	1.24150103291281	0.342967167412102
