orig.ident	nCount_RNA	nFeature_RNA	plate	Cell_type	Age	Age_Cell_type	pool	Pool_Cell_type	percent.mt	percent.ERCC
X2020_246s_B14_S297_L002_R1_001.2020_246s_B14_S297_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	70423	3107	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	3.62523607344192	0.220098547349587
X2020_246s_B17_S321_L002_R1_001.2020_246s_B17_S321_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	64213	4696	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	3.52109385949886	0.236712192235217
X2020_246s_B18_S329_L002_R1_001.2020_246s_B18_S329_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	74219	5911	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	3.62845093574422	0.0579366469502419
X2020_246s_B19_S337_L002_R1_001.2020_246s_B19_S337_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	21386	2738	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	3.4461797437576	0.215093986720284
X2020_246s_B20_S345_L002_R1_001.2020_246s_B20_S345_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	38294	3348	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	4.01368360578681	0.253303389564945
X2020_246s_B23_S369_L002_R1_001.2020_246s_B23_S369_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	47584	4753	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	3.96561869535978	0.0357262945527909
X2020_246s_B24_S377_L002_R1_001.2020_246s_B24_S377_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	116638	5770	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	2.50518698880296	0.0445823830998474
X2020_246s_C1_S2_L002_R1_001.2020_246s_C1_S2_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	3620	1239	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	1.85082872928177	0.165745856353591
X2020_246s_C2_S10_L002_R1_001.2020_246s_C2_S10_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	68415	3295	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	2.76693707520281	0.114010085507564
X2020_246s_C5_S34_L002_R1_001.2020_246s_C5_S34_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	163977	5138	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	1.93746683986169	0.0463479634338962
X2020_246s_C6_S42_L002_R1_001.2020_246s_C6_S42_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	21642	4008	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	4.49588762591258	0.0184825801681915
X2020_246s_C7_S50_L002_R1_001.2020_246s_C7_S50_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	37021	2571	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	2.67415791037519	0.162070176386375
X2020_246s_C8_S58_L002_R1_001.2020_246s_C8_S58_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	20403	2864	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	4.12684409155516	0.0392099201097878
X2020_246s_C11_S82_L002_R1_001.2020_246s_C11_S82_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	32011	4528	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	4.11421074005811	0.0687263753084877
X2020_246s_C12_S90_L002_R1_001.2020_246s_C12_S90_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	9937	2454	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	16.1920096608634	0.0805071953305827
X2020_246s_C13_S98_L002_R1_001.2020_246s_C13_S98_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	22600	3451	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	5.15044247787611	0.119469026548673
X2020_246s_C14_S106_L002_R1_001.2020_246s_C14_S106_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	14522	2493	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	7.21663682688335	0.2547858421705
X2020_246s_C17_S130_L002_R1_001.2020_246s_C17_S130_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	18604	2528	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	4.54740915932058	0.365512792947753
X2020_246s_C18_S138_L002_R1_001.2020_246s_C18_S138_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	42972	4301	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	3.19277669179931	0.0628316112817649
X2020_246s_C19_S146_L002_R1_001.2020_246s_C19_S146_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	14135	2176	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	4.43579766536965	0.183940573045631
X2020_246s_C20_S154_L002_R1_001.2020_246s_C20_S154_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	35990	3683	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	3.64823562100583	0.175048624617949
X2020_246s_C23_S178_L002_R1_001.2020_246s_C23_S178_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	36764	4377	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	3.68023066042868	0.0353606789250354
X2020_246s_C24_S186_L002_R1_001.2020_246s_C24_S186_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	82971	5951	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	4.893275963891	0.0638777404153258
X2020_246s_D1_S194_L002_R1_001.2020_246s_D1_S194_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	20220	2895	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	4.35707220573689	0.103857566765579
X2020_246s_D2_S202_L002_R1_001.2020_246s_D2_S202_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	17949	2787	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	2.40681932141066	0.0835701153267591
X2020_246s_D5_S226_L002_R1_001.2020_246s_D5_S226_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	155543	4200	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	1.63363185742849	0.111223263020515
X2020_246s_D6_S234_L002_R1_001.2020_246s_D6_S234_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	115728	4130	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	2.1334508502696	0.0501175169362643
X2020_246s_D7_S242_L002_R1_001.2020_246s_D7_S242_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	44076	3276	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	2.69761321354025	0.215536800072602
X2020_246s_D8_S250_L002_R1_001.2020_246s_D8_S250_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	22721	2687	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	4.15914792482725	0.127635227322741
X2020_246s_D11_S274_L002_R1_001.2020_246s_D11_S274_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	23616	3665	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	4.20477642276423	0.14820460704607
X2020_246s_D12_S282_L002_R1_001.2020_246s_D12_S282_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	81837	5385	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	3.10250864523382	0.054987352908831
X2020_246s_D13_S290_L002_R1_001.2020_246s_D13_S290_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	19547	3347	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	6.23113521256459	0.133012738527651
X2020_246s_D14_S298_L002_R1_001.2020_246s_D14_S298_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	51119	3673	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	4.9022868209472	0.131066726657407
X2020_246s_D17_S322_L002_R1_001.2020_246s_D17_S322_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	26150	3446	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	5.15105162523901	0.168260038240918
