Cell_type	Age
X2020_246s_I24_S189_L002_R1_001.2020_246s_I24_S189_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_J2_S205_L002_R1_001.2020_246s_J2_S205_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_J5_S229_L002_R1_001.2020_246s_J5_S229_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_J6_S237_L002_R1_001.2020_246s_J6_S237_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_J12_S285_L002_R1_001.2020_246s_J12_S285_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_J17_S325_L002_R1_001.2020_246s_J17_S325_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_J18_S333_L002_R1_001.2020_246s_J18_S333_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_J24_S381_L002_R1_001.2020_246s_J24_S381_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_K1_S6_L002_R1_001.2020_246s_K1_S6_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_K2_S14_L002_R1_001.2020_246s_K2_S14_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_K6_S46_L002_R1_001.2020_246s_K6_S46_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_K7_S54_L002_R1_001.2020_246s_K7_S54_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_K11_S86_L002_R1_001.2020_246s_K11_S86_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_K12_S94_L002_R1_001.2020_246s_K12_S94_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_K24_S190_L002_R1_001.2020_246s_K24_S190_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_L1_S198_L002_R1_001.2020_246s_L1_S198_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_L5_S230_L002_R1_001.2020_246s_L5_S230_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_L6_S238_L002_R1_001.2020_246s_L6_S238_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_L11_S278_L002_R1_001.2020_246s_L11_S278_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_L12_S286_L002_R1_001.2020_246s_L12_S286_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_L13_S294_L002_R1_001.2020_246s_L13_S294_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_L14_S302_L002_R1_001.2020_246s_L14_S302_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_L17_S326_L002_R1_001.2020_246s_L17_S326_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_L18_S334_L002_R1_001.2020_246s_L18_S334_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_M1_S7_L002_R1_001.2020_246s_M1_S7_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_M6_S47_L002_R1_001.2020_246s_M6_S47_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_M7_S55_L002_R1_001.2020_246s_M7_S55_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_M11_S87_L002_R1_001.2020_246s_M11_S87_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_M12_S95_L002_R1_001.2020_246s_M12_S95_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_M13_S103_L002_R1_001.2020_246s_M13_S103_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_M14_S111_L002_R1_001.2020_246s_M14_S111_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_M17_S135_L002_R1_001.2020_246s_M17_S135_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_M20_S159_L002_R1_001.2020_246s_M20_S159_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_M23_S183_L002_R1_001.2020_246s_M23_S183_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_N1_S199_L002_R1_001.2020_246s_N1_S199_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_N5_S231_L002_R1_001.2020_246s_N5_S231_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_N6_S239_L002_R1_001.2020_246s_N6_S239_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_N7_S247_L002_R1_001.2020_246s_N7_S247_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
