Cell_type	Age
plate_21_090s_N06.plate_21_090s_N06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_N09.plate_21_090s_N09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_N14.plate_21_090s_N14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_N16.plate_21_090s_N16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_N17.plate_21_090s_N17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_N19.plate_21_090s_N19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_N20.plate_21_090s_N20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_O05.plate_21_090s_O05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_O06.plate_21_090s_O06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_O09.plate_21_090s_O09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_O16.plate_21_090s_O16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_O17.plate_21_090s_O17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_O19.plate_21_090s_O19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_O20.plate_21_090s_O20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_P05.plate_21_090s_P05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_P09.plate_21_090s_P09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_P10.plate_21_090s_P10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_P16.plate_21_090s_P16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_P17.plate_21_090s_P17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_P18.plate_21_090s_P18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_P19.plate_21_090s_P19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_P20.plate_21_090s_P20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_A05.plate_21_091s_A05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_A10.plate_21_091s_A10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_A14.plate_21_091s_A14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_A15.plate_21_091s_A15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_A16.plate_21_091s_A16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_A17.plate_21_091s_A17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_A23.plate_21_091s_A23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_091s_B02.plate_21_091s_B02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_B05.plate_21_091s_B05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_B06.plate_21_091s_B06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_B09.plate_21_091s_B09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_B10.plate_21_091s_B10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_B14.plate_21_091s_B14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_B15.plate_21_091s_B15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_B16.plate_21_091s_B16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_B17.plate_21_091s_B17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_B24.plate_21_091s_B24_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_C05.plate_21_091s_C05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_C10.plate_21_091s_C10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_C14.plate_21_091s_C14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_C15.plate_21_091s_C15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_C16.plate_21_091s_C16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_C20.plate_21_091s_C20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_C23.plate_21_091s_C23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_091s_C24.plate_21_091s_C24_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_D02.plate_21_091s_D02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_D05.plate_21_091s_D05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_D09.plate_21_091s_D09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_D10.plate_21_091s_D10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_D13.plate_21_091s_D13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_D14.plate_21_091s_D14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_D15.plate_21_091s_D15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_D16.plate_21_091s_D16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_D17.plate_21_091s_D17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_D24.plate_21_091s_D24_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_E06.plate_21_091s_E06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_E09.plate_21_091s_E09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_E10.plate_21_091s_E10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_E14.plate_21_091s_E14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_E15.plate_21_091s_E15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_E16.plate_21_091s_E16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_E17.plate_21_091s_E17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_E18.plate_21_091s_E18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_E20.plate_21_091s_E20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_E24.plate_21_091s_E24_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_F02.plate_21_091s_F02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_F05.plate_21_091s_F05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_F06.plate_21_091s_F06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_F09.plate_21_091s_F09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_F10.plate_21_091s_F10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_F13.plate_21_091s_F13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_F14.plate_21_091s_F14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_F15.plate_21_091s_F15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_F16.plate_21_091s_F16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_F17.plate_21_091s_F17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_F19.plate_21_091s_F19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_091s_F20.plate_21_091s_F20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_F23.plate_21_091s_F23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_091s_F24.plate_21_091s_F24_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_G05.plate_21_091s_G05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_G06.plate_21_091s_G06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_G09.plate_21_091s_G09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_G10.plate_21_091s_G10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_G14.plate_21_091s_G14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_G16.plate_21_091s_G16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_G17.plate_21_091s_G17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_G20.plate_21_091s_G20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_G23.plate_21_091s_G23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_091s_H02.plate_21_091s_H02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_H06.plate_21_091s_H06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_H09.plate_21_091s_H09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_H14.plate_21_091s_H14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_H16.plate_21_091s_H16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_H17.plate_21_091s_H17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_H18.plate_21_091s_H18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_H19.plate_21_091s_H19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_091s_H20.plate_21_091s_H20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_I02.plate_21_091s_I02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_I05.plate_21_091s_I05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_I09.plate_21_091s_I09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_I14.plate_21_091s_I14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_I15.plate_21_091s_I15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_I16.plate_21_091s_I16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_I17.plate_21_091s_I17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_I18.plate_21_091s_I18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_I20.plate_21_091s_I20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_J05.plate_21_091s_J05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_J06.plate_21_091s_J06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_J09.plate_21_091s_J09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_J10.plate_21_091s_J10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_J13.plate_21_091s_J13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_J14.plate_21_091s_J14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_J15.plate_21_091s_J15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_J16.plate_21_091s_J16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_J17.plate_21_091s_J17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_J18.plate_21_091s_J18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_J20.plate_21_091s_J20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_K09.plate_21_091s_K09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_K10.plate_21_091s_K10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_K14.plate_21_091s_K14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_K15.plate_21_091s_K15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_K16.plate_21_091s_K16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_K17.plate_21_091s_K17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_K18.plate_21_091s_K18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_K19.plate_21_091s_K19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_091s_K20.plate_21_091s_K20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_L02.plate_21_091s_L02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_L06.plate_21_091s_L06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_L09.plate_21_091s_L09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_L10.plate_21_091s_L10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_L13.plate_21_091s_L13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_L14.plate_21_091s_L14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_L15.plate_21_091s_L15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_L16.plate_21_091s_L16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_L17.plate_21_091s_L17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_L18.plate_21_091s_L18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_L19.plate_21_091s_L19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_091s_L20.plate_21_091s_L20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_M02.plate_21_091s_M02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_M06.plate_21_091s_M06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_M09.plate_21_091s_M09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_M10.plate_21_091s_M10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_M13.plate_21_091s_M13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_M14.plate_21_091s_M14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_M15.plate_21_091s_M15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_M16.plate_21_091s_M16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_M17.plate_21_091s_M17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_M18.plate_21_091s_M18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_N05.plate_21_091s_N05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_N09.plate_21_091s_N09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_N10.plate_21_091s_N10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_N13.plate_21_091s_N13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_N15.plate_21_091s_N15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_N16.plate_21_091s_N16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_N17.plate_21_091s_N17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_N18.plate_21_091s_N18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_N19.plate_21_091s_N19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_091s_N20.plate_21_091s_N20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_091s_O06.plate_21_091s_O06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_O09.plate_21_091s_O09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_O10.plate_21_091s_O10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_O13.plate_21_091s_O13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_O15.plate_21_091s_O15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_O16.plate_21_091s_O16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_O17.plate_21_091s_O17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_O18.plate_21_091s_O18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_O19.plate_21_091s_O19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_091s_P02.plate_21_091s_P02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_P05.plate_21_091s_P05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_P10.plate_21_091s_P10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_P15.plate_21_091s_P15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_P17.plate_21_091s_P17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_091s_P18.plate_21_091s_P18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_091s_P20.plate_21_091s_P20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_092s_A1_S1_L005_R1_001.plate_092s_A1_S1_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_A2_S9_L005_R1_001.plate_092s_A2_S9_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_A3_S17_L005_R1_001.plate_092s_A3_S17_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_A4_S25_L005_R1_001.plate_092s_A4_S25_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_A5_S33_L005_R1_001.plate_092s_A5_S33_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_A6_S41_L005_R1_001.plate_092s_A6_S41_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_A11_S81_L005_R1_001.plate_092s_A11_S81_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_A12_S89_L005_R1_001.plate_092s_A12_S89_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_A13_S97_L005_R1_001.plate_092s_A13_S97_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_A14_S105_L005_R1_001.plate_092s_A14_S105_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_A15_S113_L005_R1_001.plate_092s_A15_S113_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_A16_S121_L005_R1_001.plate_092s_A16_S121_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_A21_S161_L005_R1_001.plate_092s_A21_S161_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_A23_S177_L005_R1_001.plate_092s_A23_S177_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_B1_S193_L005_R1_001.plate_092s_B1_S193_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_B2_S201_L005_R1_001.plate_092s_B2_S201_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_B3_S209_L005_R1_001.plate_092s_B3_S209_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_B4_S217_L005_R1_001.plate_092s_B4_S217_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_B5_S225_L005_R1_001.plate_092s_B5_S225_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_B6_S233_L005_R1_001.plate_092s_B6_S233_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_B11_S273_L005_R1_001.plate_092s_B11_S273_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_B12_S281_L005_R1_001.plate_092s_B12_S281_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_B13_S289_L005_R1_001.plate_092s_B13_S289_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_B14_S297_L005_R1_001.plate_092s_B14_S297_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_B15_S305_L005_R1_001.plate_092s_B15_S305_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_B16_S313_L005_R1_001.plate_092s_B16_S313_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_B21_S353_L005_R1_001.plate_092s_B21_S353_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_B23_S369_L005_R1_001.plate_092s_B23_S369_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_C1_S2_L005_R1_001.plate_092s_C1_S2_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_C2_S10_L005_R1_001.plate_092s_C2_S10_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_C3_S18_L005_R1_001.plate_092s_C3_S18_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_C4_S26_L005_R1_001.plate_092s_C4_S26_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_C5_S34_L005_R1_001.plate_092s_C5_S34_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_C6_S42_L005_R1_001.plate_092s_C6_S42_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_C11_S82_L005_R1_001.plate_092s_C11_S82_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_C12_S90_L005_R1_001.plate_092s_C12_S90_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_C13_S98_L005_R1_001.plate_092s_C13_S98_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_C14_S106_L005_R1_001.plate_092s_C14_S106_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_C15_S114_L005_R1_001.plate_092s_C15_S114_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_C16_S122_L005_R1_001.plate_092s_C16_S122_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_C21_S162_L005_R1_001.plate_092s_C21_S162_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_C23_S178_L005_R1_001.plate_092s_C23_S178_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_D1_S194_L005_R1_001.plate_092s_D1_S194_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_D2_S202_L005_R1_001.plate_092s_D2_S202_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_D3_S210_L005_R1_001.plate_092s_D3_S210_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_D4_S218_L005_R1_001.plate_092s_D4_S218_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_D5_S226_L005_R1_001.plate_092s_D5_S226_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_D6_S234_L005_R1_001.plate_092s_D6_S234_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_D11_S274_L005_R1_001.plate_092s_D11_S274_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_D12_S282_L005_R1_001.plate_092s_D12_S282_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_D13_S290_L005_R1_001.plate_092s_D13_S290_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_D14_S298_L005_R1_001.plate_092s_D14_S298_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_D15_S306_L005_R1_001.plate_092s_D15_S306_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_D16_S314_L005_R1_001.plate_092s_D16_S314_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_D21_S354_L005_R1_001.plate_092s_D21_S354_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_D23_S370_L005_R1_001.plate_092s_D23_S370_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_E1_S3_L005_R1_001.plate_092s_E1_S3_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_E2_S11_L005_R1_001.plate_092s_E2_S11_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_E3_S19_L005_R1_001.plate_092s_E3_S19_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_E4_S27_L005_R1_001.plate_092s_E4_S27_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_E5_S35_L005_R1_001.plate_092s_E5_S35_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_E6_S43_L005_R1_001.plate_092s_E6_S43_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_E11_S83_L005_R1_001.plate_092s_E11_S83_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_E12_S91_L005_R1_001.plate_092s_E12_S91_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_E13_S99_L005_R1_001.plate_092s_E13_S99_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_E14_S107_L005_R1_001.plate_092s_E14_S107_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_E15_S115_L005_R1_001.plate_092s_E15_S115_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_E16_S123_L005_R1_001.plate_092s_E16_S123_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_E21_S163_L005_R1_001.plate_092s_E21_S163_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_E23_S179_L005_R1_001.plate_092s_E23_S179_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_F1_S195_L005_R1_001.plate_092s_F1_S195_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
