	Cell_type	Age	HSCScore
X2020_246s_H7_S244_L002_R1_001.2020_246s_H7_S244_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4714607605828702
X2020_246s_H24_S380_L002_R1_001.2020_246s_H24_S380_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0041873183615990656
X2020_246s_I2_S13_L002_R1_001.2020_246s_I2_S13_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4762555885091658
X2020_246s_I5_S37_L002_R1_001.2020_246s_I5_S37_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.2958842606342334
X2020_246s_I6_S45_L002_R1_001.2020_246s_I6_S45_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.016500030936691598
X2020_246s_I24_S189_L002_R1_001.2020_246s_I24_S189_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.015403917850197082
X2020_246s_J2_S205_L002_R1_001.2020_246s_J2_S205_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4833208909584061
X2020_246s_J5_S229_L002_R1_001.2020_246s_J5_S229_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.0022684559129118875
X2020_246s_J6_S237_L002_R1_001.2020_246s_J6_S237_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.0063972542803577
X2020_246s_J12_S285_L002_R1_001.2020_246s_J12_S285_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0038287776379635347
X2020_246s_J17_S325_L002_R1_001.2020_246s_J17_S325_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	-0.0016686926482628872
X2020_246s_J18_S333_L002_R1_001.2020_246s_J18_S333_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.004376494729003519
X2020_246s_J24_S381_L002_R1_001.2020_246s_J24_S381_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.00414387278827473
X2020_246s_K1_S6_L002_R1_001.2020_246s_K1_S6_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.43701386914699797
X2020_246s_K2_S14_L002_R1_001.2020_246s_K2_S14_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.23133824191850627
X2020_246s_K6_S46_L002_R1_001.2020_246s_K6_S46_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.004790336235702006
X2020_246s_K7_S54_L002_R1_001.2020_246s_K7_S54_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5375972590602301
X2020_246s_K11_S86_L002_R1_001.2020_246s_K11_S86_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.08916974600728554
X2020_246s_K12_S94_L002_R1_001.2020_246s_K12_S94_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.004155025804295137
X2020_246s_K24_S190_L002_R1_001.2020_246s_K24_S190_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.011244354856294311
X2020_246s_L1_S198_L002_R1_001.2020_246s_L1_S198_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.25012550836956016
X2020_246s_L5_S230_L002_R1_001.2020_246s_L5_S230_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.14782472190460116
X2020_246s_L6_S238_L002_R1_001.2020_246s_L6_S238_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.001689217760976039
X2020_246s_L11_S278_L002_R1_001.2020_246s_L11_S278_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.04544684930847791
X2020_246s_L12_S286_L002_R1_001.2020_246s_L12_S286_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.001735279743367818
X2020_246s_L13_S294_L002_R1_001.2020_246s_L13_S294_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4256070008310285
X2020_246s_L14_S302_L002_R1_001.2020_246s_L14_S302_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.5292961835272962
X2020_246s_L17_S326_L002_R1_001.2020_246s_L17_S326_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.1918943164596149
X2020_246s_L18_S334_L002_R1_001.2020_246s_L18_S334_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.00991727544897042
X2020_246s_M1_S7_L002_R1_001.2020_246s_M1_S7_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.49216731125996144
X2020_246s_M6_S47_L002_R1_001.2020_246s_M6_S47_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.008793386616321036
X2020_246s_M7_S55_L002_R1_001.2020_246s_M7_S55_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5279200182105813
X2020_246s_M11_S87_L002_R1_001.2020_246s_M11_S87_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.1287742397508272
X2020_246s_M12_S95_L002_R1_001.2020_246s_M12_S95_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.003784933599763382
X2020_246s_M13_S103_L002_R1_001.2020_246s_M13_S103_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4300668301230552
X2020_246s_M14_S111_L002_R1_001.2020_246s_M14_S111_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.37180841749914795
X2020_246s_M17_S135_L002_R1_001.2020_246s_M17_S135_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.06774976188948319
X2020_246s_M20_S159_L002_R1_001.2020_246s_M20_S159_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.38449702559819593
X2020_246s_M23_S183_L002_R1_001.2020_246s_M23_S183_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.010585815603891435
X2020_246s_N1_S199_L002_R1_001.2020_246s_N1_S199_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.46306919272842
X2020_246s_N5_S231_L002_R1_001.2020_246s_N5_S231_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.2517657508847786
X2020_246s_N6_S239_L002_R1_001.2020_246s_N6_S239_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.005313367075572714
X2020_246s_N7_S247_L002_R1_001.2020_246s_N7_S247_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.19509683402937295
X2020_246s_N11_S279_L002_R1_001.2020_246s_N11_S279_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.0030079198693433173
X2020_246s_N12_S287_L002_R1_001.2020_246s_N12_S287_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.05083453500192282
X2020_246s_N13_S295_L002_R1_001.2020_246s_N13_S295_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.44817670363647516
X2020_246s_N14_S303_L002_R1_001.2020_246s_N14_S303_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2608077473441491
X2020_246s_N17_S327_L002_R1_001.2020_246s_N17_S327_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.11196596827892179
X2020_246s_N18_S335_L002_R1_001.2020_246s_N18_S335_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.002709312281895304
