	Cell_type	Age	HSCScore
plate_21_090s_J06.plate_21_090s_J06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.11420610445727723
plate_21_090s_J09.plate_21_090s_J09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2539828105164085
plate_21_090s_J10.plate_21_090s_J10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.09429691440522346
plate_21_090s_J13.plate_21_090s_J13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3779160444897926
plate_21_090s_J14.plate_21_090s_J14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.26785224919315176
plate_21_090s_J16.plate_21_090s_J16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3124699765322555
plate_21_090s_J17.plate_21_090s_J17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2989603901633348
plate_21_090s_J20.plate_21_090s_J20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0021772901727263455
plate_21_090s_K02.plate_21_090s_K02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.07492683651859762
plate_21_090s_K05.plate_21_090s_K05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4002821942173019
plate_21_090s_K06.plate_21_090s_K06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.1465566339133298
plate_21_090s_K09.plate_21_090s_K09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.33251024416208025
plate_21_090s_K10.plate_21_090s_K10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.14369168184572018
plate_21_090s_K16.plate_21_090s_K16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.15953825891710915
plate_21_090s_K17.plate_21_090s_K17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.15772465283080056
plate_21_090s_K20.plate_21_090s_K20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0027841391179758562
plate_21_090s_L05.plate_21_090s_L05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.26537648762842897
plate_21_090s_L06.plate_21_090s_L06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.09569391351382552
plate_21_090s_L09.plate_21_090s_L09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.31379305421631776
plate_21_090s_L10.plate_21_090s_L10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.33402685455736325
plate_21_090s_L13.plate_21_090s_L13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.21997500873507786
plate_21_090s_L14.plate_21_090s_L14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.324214868341835
plate_21_090s_L16.plate_21_090s_L16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.23588092518896647
plate_21_090s_L17.plate_21_090s_L17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2814428566002797
plate_21_090s_L19.plate_21_090s_L19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.09786450622665048
plate_21_090s_L20.plate_21_090s_L20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0015002421891148338
plate_21_090s_M06.plate_21_090s_M06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.32732248167250777
plate_21_090s_M09.plate_21_090s_M09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2770492157747479
plate_21_090s_M10.plate_21_090s_M10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.18113579920500772
plate_21_090s_M16.plate_21_090s_M16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2864702259122399
plate_21_090s_M19.plate_21_090s_M19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.0032098909417544036
plate_21_090s_M20.plate_21_090s_M20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.07675079989971538
plate_21_090s_N02.plate_21_090s_N02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2668487513310695
plate_21_090s_N05.plate_21_090s_N05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4047330718705277
plate_21_090s_N06.plate_21_090s_N06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.07915505318535442
plate_21_090s_N09.plate_21_090s_N09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.42307126064838446
plate_21_090s_N14.plate_21_090s_N14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.34126491375722784
plate_21_090s_N16.plate_21_090s_N16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.29361017481122936
plate_21_090s_N17.plate_21_090s_N17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4003678490946447
plate_21_090s_N19.plate_21_090s_N19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.015028149105430003
plate_21_090s_N20.plate_21_090s_N20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0020115424372939145
plate_21_090s_O05.plate_21_090s_O05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.41372516916070895
plate_21_090s_O06.plate_21_090s_O06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3725302029731139
plate_21_090s_O09.plate_21_090s_O09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.28287266375722414
plate_21_090s_O16.plate_21_090s_O16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.19133092718738726
plate_21_090s_O17.plate_21_090s_O17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4539209245510574
plate_21_090s_O19.plate_21_090s_O19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.0041673843765342306
plate_21_090s_O20.plate_21_090s_O20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.003259503337349437
plate_21_090s_P05.plate_21_090s_P05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4809503301365932
plate_21_090s_P09.plate_21_090s_P09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4491082165544373
plate_21_090s_P10.plate_21_090s_P10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.23954447921934235
plate_21_090s_P16.plate_21_090s_P16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.30181710626144476
plate_21_090s_P17.plate_21_090s_P17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5428768094808604
plate_21_090s_P18.plate_21_090s_P18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3443527786448218
plate_21_090s_P19.plate_21_090s_P19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.029349561994258574
plate_21_090s_P20.plate_21_090s_P20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0005306679230377698
plate_21_091s_A05.plate_21_091s_A05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5029033930031334
plate_21_091s_A10.plate_21_091s_A10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.17569592657826827
plate_21_091s_A14.plate_21_091s_A14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.28333663837540857
plate_21_091s_A15.plate_21_091s_A15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5151142694643198
plate_21_091s_A16.plate_21_091s_A16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.35752325848963756
plate_21_091s_A17.plate_21_091s_A17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.26131163287394105
plate_21_091s_A23.plate_21_091s_A23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.04503438925081914
plate_21_091s_B02.plate_21_091s_B02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2575350536728465
plate_21_091s_B05.plate_21_091s_B05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5603743877452051
plate_21_091s_B06.plate_21_091s_B06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4204790444121464
plate_21_091s_B09.plate_21_091s_B09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3756029514386574
plate_21_091s_B10.plate_21_091s_B10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.24652557413083015
plate_21_091s_B14.plate_21_091s_B14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.25155939374053965
plate_21_091s_B15.plate_21_091s_B15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4952671417823326
plate_21_091s_B16.plate_21_091s_B16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.37820711216089087
plate_21_091s_B17.plate_21_091s_B17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4168721926458487
plate_21_091s_B24.plate_21_091s_B24_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0036776783351074177
plate_21_091s_C05.plate_21_091s_C05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5385079580964701
plate_21_091s_C10.plate_21_091s_C10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.33958297285238015
plate_21_091s_C14.plate_21_091s_C14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2692332416126612
plate_21_091s_C15.plate_21_091s_C15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.27508246606988185
plate_21_091s_C16.plate_21_091s_C16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.31566194006323006
plate_21_091s_C20.plate_21_091s_C20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.003198674610017674
plate_21_091s_C23.plate_21_091s_C23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.11849520168167187
plate_21_091s_C24.plate_21_091s_C24_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0025937236927255497
plate_21_091s_D02.plate_21_091s_D02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.24774221127936813
plate_21_091s_D05.plate_21_091s_D05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4481523551938115
plate_21_091s_D09.plate_21_091s_D09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.39496325693205414
plate_21_091s_D10.plate_21_091s_D10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.282185474471988
plate_21_091s_D13.plate_21_091s_D13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.36886641722186425
plate_21_091s_D14.plate_21_091s_D14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.27139684524611113
plate_21_091s_D15.plate_21_091s_D15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5554831031155973
plate_21_091s_D16.plate_21_091s_D16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3900576737853014
plate_21_091s_D17.plate_21_091s_D17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4455572407025948
plate_21_091s_D24.plate_21_091s_D24_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.003594122779110878
plate_21_091s_E06.plate_21_091s_E06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.29880480937170545
plate_21_091s_E09.plate_21_091s_E09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.22422494972735274
plate_21_091s_E10.plate_21_091s_E10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.46241439759551434
plate_21_091s_E14.plate_21_091s_E14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.37796695826567794
plate_21_091s_E15.plate_21_091s_E15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.23522625007935727
plate_21_091s_E16.plate_21_091s_E16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.11829290908556304
plate_21_091s_E17.plate_21_091s_E17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.39734330600292594
plate_21_091s_E18.plate_21_091s_E18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.5396697714325688
plate_21_091s_E20.plate_21_091s_E20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.00535759631330078
plate_21_091s_E24.plate_21_091s_E24_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.0115562727572424
plate_21_091s_F02.plate_21_091s_F02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.22721260605677196
plate_21_091s_F05.plate_21_091s_F05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.46092834180280845
plate_21_091s_F06.plate_21_091s_F06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.45510367307553595
plate_21_091s_F09.plate_21_091s_F09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4832103394389737
plate_21_091s_F10.plate_21_091s_F10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4709433477062212
plate_21_091s_F13.plate_21_091s_F13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2523443636985704
plate_21_091s_F14.plate_21_091s_F14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.15326741659597715
plate_21_091s_F15.plate_21_091s_F15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3953401227371077
plate_21_091s_F16.plate_21_091s_F16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3400431189585199
plate_21_091s_F17.plate_21_091s_F17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2888908048485856
plate_21_091s_F19.plate_21_091s_F19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.21921841082217497
plate_21_091s_F20.plate_21_091s_F20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.029963028875165207
plate_21_091s_F23.plate_21_091s_F23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.010103704357892276
plate_21_091s_F24.plate_21_091s_F24_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0039700926314896745
plate_21_091s_G05.plate_21_091s_G05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3539672283706135
plate_21_091s_G06.plate_21_091s_G06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.48437128477080554
plate_21_091s_G09.plate_21_091s_G09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3060175527605605
plate_21_091s_G10.plate_21_091s_G10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3534891954935549
plate_21_091s_G14.plate_21_091s_G14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.09208289281757724
plate_21_091s_G16.plate_21_091s_G16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.46801330459649154
plate_21_091s_G17.plate_21_091s_G17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.25734226011865896
plate_21_091s_G20.plate_21_091s_G20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.007111984604609253
plate_21_091s_G23.plate_21_091s_G23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.043634174408069645
plate_21_091s_H02.plate_21_091s_H02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.40619780504392483
plate_21_091s_H06.plate_21_091s_H06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.41423887621277616
plate_21_091s_H09.plate_21_091s_H09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5133651720969546
plate_21_091s_H14.plate_21_091s_H14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.38200611714201443
plate_21_091s_H16.plate_21_091s_H16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.34682165080221183
plate_21_091s_H17.plate_21_091s_H17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3426970022656856
plate_21_091s_H18.plate_21_091s_H18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4338779713689565
plate_21_091s_H19.plate_21_091s_H19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.022421825021228123
plate_21_091s_H20.plate_21_091s_H20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.0072873052696086765
plate_21_091s_I02.plate_21_091s_I02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.35302851454363615
plate_21_091s_I05.plate_21_091s_I05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5651766184615642
plate_21_091s_I09.plate_21_091s_I09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3878669571667307
plate_21_091s_I14.plate_21_091s_I14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.13582642340811213
plate_21_091s_I15.plate_21_091s_I15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.42373973939454473
plate_21_091s_I16.plate_21_091s_I16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.35996614322518866
plate_21_091s_I17.plate_21_091s_I17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.29182401079173975
plate_21_091s_I18.plate_21_091s_I18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2814908810457066
plate_21_091s_I20.plate_21_091s_I20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.007120932214512335
plate_21_091s_J05.plate_21_091s_J05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2363311719129531
plate_21_091s_J06.plate_21_091s_J06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.5026254684144945
plate_21_091s_J09.plate_21_091s_J09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4914567745335752
plate_21_091s_J10.plate_21_091s_J10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.42142854437631155
plate_21_091s_J13.plate_21_091s_J13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.40992787309327755
plate_21_091s_J14.plate_21_091s_J14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4161946137812536
plate_21_091s_J15.plate_21_091s_J15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.32939185565459667
plate_21_091s_J16.plate_21_091s_J16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.43314752476181945
plate_21_091s_J17.plate_21_091s_J17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.43323921597875253
plate_21_091s_J18.plate_21_091s_J18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3891358627771946
plate_21_091s_J20.plate_21_091s_J20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.02450161941160582
plate_21_091s_K09.plate_21_091s_K09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.40659944757278627
plate_21_091s_K10.plate_21_091s_K10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3005688653316864
plate_21_091s_K14.plate_21_091s_K14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.28437305117884204
plate_21_091s_K15.plate_21_091s_K15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.27390941401762425
plate_21_091s_K16.plate_21_091s_K16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3627711569456478
plate_21_091s_K17.plate_21_091s_K17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5047470435433197
plate_21_091s_K18.plate_21_091s_K18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4608830497246214
plate_21_091s_K19.plate_21_091s_K19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	-0.0026562141523558125
plate_21_091s_K20.plate_21_091s_K20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.003963130610591767
plate_21_091s_L02.plate_21_091s_L02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2996717977874947
plate_21_091s_L06.plate_21_091s_L06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.009697825554041486
plate_21_091s_L09.plate_21_091s_L09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4877920039299036
plate_21_091s_L10.plate_21_091s_L10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.29779521404345677
plate_21_091s_L13.plate_21_091s_L13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.517262008663358
plate_21_091s_L14.plate_21_091s_L14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.1634597171294987
plate_21_091s_L15.plate_21_091s_L15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.35154517914958994
plate_21_091s_L16.plate_21_091s_L16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4769691191527768
plate_21_091s_L17.plate_21_091s_L17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3321372863826933
plate_21_091s_L18.plate_21_091s_L18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3657315583851907
plate_21_091s_L19.plate_21_091s_L19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.009253081761770782
plate_21_091s_L20.plate_21_091s_L20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.010064392602772948
plate_21_091s_M02.plate_21_091s_M02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3380673243047464
plate_21_091s_M06.plate_21_091s_M06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.468456026856294
plate_21_091s_M09.plate_21_091s_M09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.393996407076289
plate_21_091s_M10.plate_21_091s_M10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3638918975312618
plate_21_091s_M13.plate_21_091s_M13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4115573553620479
plate_21_091s_M14.plate_21_091s_M14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.27792690324348335
plate_21_091s_M15.plate_21_091s_M15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.27330617558157094
plate_21_091s_M16.plate_21_091s_M16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.28947818599767505
plate_21_091s_M17.plate_21_091s_M17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2300186781370207
plate_21_091s_M18.plate_21_091s_M18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.22919244598020805
plate_21_091s_N05.plate_21_091s_N05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3881429637682708
plate_21_091s_N09.plate_21_091s_N09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.381384153203199
plate_21_091s_N10.plate_21_091s_N10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4120111450351908
plate_21_091s_N13.plate_21_091s_N13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5020606998642885
plate_21_091s_N15.plate_21_091s_N15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5345692485640804
plate_21_091s_N16.plate_21_091s_N16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4439430736450071
plate_21_091s_N17.plate_21_091s_N17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4462906838989282
plate_21_091s_N18.plate_21_091s_N18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.26529163893263785
plate_21_091s_N19.plate_21_091s_N19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.16057353128973534
plate_21_091s_N20.plate_21_091s_N20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.0015003821094424913
plate_21_091s_O06.plate_21_091s_O06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.17971675618369481
plate_21_091s_O09.plate_21_091s_O09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2616227392657226
plate_21_091s_O10.plate_21_091s_O10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.36371876910692075
plate_21_091s_O13.plate_21_091s_O13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.20790830982704117
plate_21_091s_O15.plate_21_091s_O15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.29137731226794894
plate_21_091s_O16.plate_21_091s_O16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.1625482006352913
plate_21_091s_O17.plate_21_091s_O17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4307534556811227
plate_21_091s_O18.plate_21_091s_O18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3204479916401519
plate_21_091s_O19.plate_21_091s_O19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.0048222664554739975
plate_21_091s_P02.plate_21_091s_P02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.27078338903726507
plate_21_091s_P05.plate_21_091s_P05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.49156371755521605
plate_21_091s_P10.plate_21_091s_P10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3823282281275597
plate_21_091s_P15.plate_21_091s_P15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.26192180871564785
plate_21_091s_P17.plate_21_091s_P17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.34714011662721844
plate_21_091s_P18.plate_21_091s_P18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2687157685326684
plate_21_091s_P20.plate_21_091s_P20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.005066296875228388
plate_092s_A1_S1_L005_R1_001.plate_092s_A1_S1_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.44060958569120384
plate_092s_A2_S9_L005_R1_001.plate_092s_A2_S9_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.3948150391617786
plate_092s_A3_S17_L005_R1_001.plate_092s_A3_S17_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4593391017999168
plate_092s_A4_S25_L005_R1_001.plate_092s_A4_S25_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3139680704956577
plate_092s_A5_S33_L005_R1_001.plate_092s_A5_S33_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.5528992587750242
plate_092s_A6_S41_L005_R1_001.plate_092s_A6_S41_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.33292494194376604
plate_092s_A11_S81_L005_R1_001.plate_092s_A11_S81_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.506003760268302
plate_092s_A12_S89_L005_R1_001.plate_092s_A12_S89_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.3253623692750181
plate_092s_A13_S97_L005_R1_001.plate_092s_A13_S97_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.30220168752570015
plate_092s_A14_S105_L005_R1_001.plate_092s_A14_S105_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.5170361557694912
plate_092s_A15_S113_L005_R1_001.plate_092s_A15_S113_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.08596296842895117
plate_092s_A16_S121_L005_R1_001.plate_092s_A16_S121_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.33024496682579635
plate_092s_A21_S161_L005_R1_001.plate_092s_A21_S161_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.18422553707554135
plate_092s_A23_S177_L005_R1_001.plate_092s_A23_S177_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.005172687716535118
plate_092s_B1_S193_L005_R1_001.plate_092s_B1_S193_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4815442025390703
